0,1,2,3
2009-11-16,64.484375,38.075,0.0
2009-11-17,52.54531,39.242188,0.0
2009-11-18,46.695312,33.690136,0.0
2009-11-19,49.282814,40.05781,0.0
2009-11-20,49.6625,42.835155,0.5951652
2009-11-21,47.80625,40.05078,0.0
2009-11-22,47.91875,37.85,0.0
2009-11-23,45.31719,35.141212,0.0
2009-11-24,45.20469,39.628906,0.27159217
2009-11-25,47.595314,43.003906,0.049212627
2009-11-26,48.5375,33.765724,0.021914998
2009-11-27,49.240623,34.583984,0.24467902
2009-11-28,38.858986,33.716503,0.021338288
2009-11-29,39.446095,30.454004,0.0
2009-11-30,57.917187,32.784424,0.001456194
2009-12-01,44.93047,29.414257,0.04579081
2009-12-02,41.82969,25.696484,0.0
2009-12-03,51.4625,27.134375,0.68774647
2009-12-04,48.88906,34.765038,0.0
2009-12-05,38.064453,26.550781,0.0
2009-12-06,29.013477,21.214062,0.18454735
2009-12-07,29.410742,18.633595,0.0
2009-12-08,30.967285,21.713282,0.0
2009-12-09,36.11328,28.981836,1.2869102
2009-12-10,40.845314,25.991796,0.1416401
2009-12-11,23.590626,12.81875,0.0
2009-12-12,22.064844,13.887501,0.0
2009-12-13,33.357033,18.239845,0.0
2009-12-14,38.887108,28.988867,0.4875126
2009-12-15,43.70703,33.103027,0.0
2009-12-16,40.2125,22.507812,0.03963923
2009-12-17,25.246485,17.628124,0.0
2009-12-18,27.35586,17.94453,0.0
2009-12-19,29.048634,18.935938,0.12318535
2009-12-20,22.078907,15.940626,0.3690947
2009-12-21,28.041407,15.926563,0.0
2009-12-22,29.860743,23.822657,0.0
2009-12-23,29.781641,8.979689,0.0
2009-12-24,26.199219,8.234375,0.0
2009-12-25,31.857838,18.928905,0.0
2009-12-26,39.091015,26.79336,0.49950814
2009-12-27,41.18281,24.940624,0.36786437
2009-12-28,37.716408,23.871876,0.0
2009-12-29,23.984375,16.446877,0.025432931
2009-12-30,20.855469,12.551563,0.0
2009-12-31,25.960155,12.734375,0.11034393
2010-01-01,30.35381,22.796093,0.0845842
2010-01-02,31.827295,16.1375,0.017358985
2010-01-03,17.529688,9.44375,0.0
2010-01-04,18.021875,9.9921875,0.0
2010-01-05,21.664062,15.560938,0.0
2010-01-06,23.492188,17.09375,0.03927398
2010-01-07,26.761719,22.641407,0.0
2010-01-08,25.780859,18.338282,0.06678307
2010-01-09,20.01875,13.071875,0.016417025
2010-01-10,23.253124,1.7093754,0.0
2010-01-11,20.609375,6.7437515,0.0
2010-01-12,24.314844,12.8046875,0.014167854
2010-01-13,25.070704,16.1375,0.0
2010-01-14,30.759863,16.939064,0.0
2010-01-15,43.08828,19.280468,0.0
2010-01-16,39.58672,33.39834,0.0
2010-01-17,46.322655,27.359375,0.0
2010-01-18,35.81797,29.19629,0.66929173
2010-01-19,40.500782,31.838062,0.0
2010-01-20,34.183205,26.069141,0.0
2010-01-21,32.887257,16.08125,0.0
2010-01-22,35.39258,16.770313,0.0
2010-01-23,35.01113,20.46875,0.0339298
2010-01-24,39.69922,20.707813,0.0
2010-01-25,52.742188,32.84419,1.8430128
2010-01-26,48.425,27.816406,0.27851272
2010-01-27,29.818554,22.866405,0.0
2010-01-28,30.445215,22.44453,0.015897986
2010-01-29,31.586035,5.717188,0.0
2010-01-30,16.432812,5.0421886,0.0
2010-01-31,15.954687,2.0187511,0.0
2010-02-01,25.098827,7.2921886,0.0
2010-02-02,28.63203,14.225,0.0
2010-02-03,31.487158,17.754688,0.037582297
2010-02-04,32.34365,21.150782,0.0
2010-02-05,34.510155,21.073437,0.0
2010-02-06,32.271584,21.621876,1.1294298
2010-02-07,26.343359,-2.5374985,0.060785282
2010-02-08,22.8875,-0.28749847,0.0
2010-02-09,26.030468,6.153126,0.0
2010-02-10,25.823048,11.8203125,0.26051933
2010-02-11,23.246094,13.49375,0.23299102
2010-02-12,25.932032,19.941406,0.0
2010-02-13,29.024023,14.140625,0.0
2010-02-14,22.915627,13.9296875,0.0
2010-02-15,25.671875,11.834375,0.0
2010-02-16,29.688477,9.823439,0.12718388
2010-02-17,25.879297,17.810938,0.0
2010-02-18,29.215626,20.989063,0.009880973
2010-02-19,32.872753,28.799023,0.0
2010-02-20,36.060547,19.765625,0.0
2010-02-21,37.498436,16.939064,0.0
2010-02-22,41.323437,18.246876,0.0
2010-02-23,35.708984,27.661718,0.04467584
2010-02-24,36.01836,30.043554,0.0
2010-02-25,34.88457,26.42422,0.019329412
